46,新宿区,竹の湯,新宿区改代町２,03-3268-8544,15:00 - 23:30,土曜,35.706536,139.734609
47,新宿区,第三玉の湯,新宿区白銀町１−４,03-3260-9326,15:00 - 25:00,水曜,35.702895,139.738444
48,新宿区,熱海湯,新宿区神楽坂３−６,03-3260-1053,15:00 - 25:00,土曜,35.700928,139.740075
49,文京区,大黒湯,文京区大塚３−８−６,03-3941-5826,15:30 - 24:00,月曜,35.720814,139.732701
50,文京区,豊川温泉,文京区目白台１−１３−１,03-3941-7856,16:00 - 23:50,月・金曜 / コインランドリーは無休,35.714464,139.717638
51,文京区,月の湯,文京区目白台３−１５−７,03-3943-1788,17:00 - 22:00 / 日曜は16：00 - 23:00,月・水・金・土曜,35.715805,139.723979
52,文京区,おとめ湯,文京区千石３−３１−１２,03-3941-8661,16:00 - 23:30,月曜,35.728109,139.738817
53,文京区,歌舞伎湯,文京区小石川３−１２−１,03-3811-6710,15:00 - 23:30,金曜,35.713281,139.745852
54,文京区,白山浴場,文京区白山２−７−１,03-3811-1052,16:00 - 23:30,月曜,35.715779,139.748481
55,文京区,富士見湯,文京区白山１−３−５,03-3811-7014,15:30 - 26:00,月２回水曜,35.715516,139.753322
56,文京区,菊水湯,文京区本郷４−３０−１６,03-3815-2637,15:30 - 25:00,金曜,35.710182,139.755616
57,文京区,ふくの湯,文京区千駄木５−４１−５,03-3823-0371,15:00 - 24:00 / 土・日・祝日は８：00 - 12:00も営業,無休,35.728083,139.756788
58,文京区,鶴の湯,文京区千駄木５−３２−２,03-3821-2514,16:00 - 24:00,土曜,35.726779,139.757796
59,台東区,朝日湯,台東区谷中２−１８−７,03-3821-5849,13:00 - 25:30（平日祝日） / 日曜は10：00 - 24：30,無休,35.724407,139.764505
60,台東区,六龍鉱泉,台東区池之端３−４−２０,03-3821-3826,15:30 - 23:00,月曜,35.716844,139.769542
61,台東区,荻の湯,台東区根岸２−１３−１３,03-3872-7669,11:00 - 25:00,火曜,35.724301,139.777693
62,台東区,宝泉湯,台東区根岸３−１４−１４,03-3875-4126,15:00 - 24:00,月曜,35.722404,139.782433
63,台東区,快哉湯,台東区下谷２−１７−１１,03-3874-3853,16:00 - 24:00,木曜,35.722232,139.784822
64,台東区,恵美須湯,台東区下谷３−１８−９,03-3873-5244,16:00 - 23:30,不定休,35.726663,139.788403
65,台東区,改栄湯,台東区三ノ輪２−１０−１５,03-3807-8405,14:00 - 24:00 / 日曜は8:00 - 12:00も営業,第２・第４・第５月曜,35.729894,139.794146
66,台東区,日の出湯,台東区三ノ輪１−１５−１２,03-3872-0671,15:00 - 23:30,金曜,35.728063,139.7938
